time_id,r_bist,r_garan,r_ereg,r_ansgr,r_toaso,r_vestl,r_usd
79,-1.5112,-3.2558,0.6494,1.0309,0.8639,-3.0534,1.1971
80,-4.5227,-4.1667,-2.5806,-1.0204,-14.1328,-9.0551,2.7298
81,4.1693,6.6890,-1.9868,0.0000,9.7257,8.6580,-0.9448
82,-9.6799,-10.1881,-10.1351,-8.2474,-13.6364,-7.5697,3.3979
83,-7.2458,-10.1222,-6.0150,-16.8539,1.0526,-10.3448,2.8827
84,1.6729,1.5534,0.0000,-1.3514,-6.7708,0.4808,-0.0560
85,1.2171,1.3384,-1.6000,-4.1096,-4.1899,-1.9139,-1.6821
86,3.1052,4.9057,4.0650,1.4286,13.7026,1.9512,-0.2281
87,0.9530,1.4388,-4.6875,4.2254,0.5128,2.3923,2.1720
88,3.5660,5.4965,0.0000,6.7568,5.6122,2.3364,-0.3357
89,-2.7171,-2.3529,-6.5574,-3.7975,-4.3478,-1.3699,3.0312
90,5.9834,6.5404,6.1404,2.6316,5.5556,-0.4630,1.3620
91,-3.9446,-10.0162,-3.3058,-3.8462,0.7177,-1.3953,-1.1825
92,3.4209,6.4632,6.8376,5.3333,3.5629,0.9434,-0.1632
93,-4.2292,-7.0826,6.4000,-7.5949,0.9174,-2.8037,0.0545
94,0.4402,-1.2704,8.2707,5.4795,1.8182,2.4038,-5.0640
95,-1.5114,1.2868,-11.1111,-5.1948,-6.0268,-4.6948,0.9751
96,0.0378,1.4519,-1.5625,0.0000,-1.9002,-1.4778,0.7952
97,-3.0739,-4.8301,-0.7937,-2.7397,-7.5061,-5.0000,2.7050
98,-6.2464,-4.8872,-7.2000,-7.0423,-4.4503,-7.8947,3.0727
99,7.2409,5.7312,7.7586,4.5455,12.0548,10.8571,-2.8214
100,-1.7060,-0.3738,3.2000,-4.3478,-3.1785,-6.1856,1.0408
101,-4.0292,-4.1276,-10.0775,-6.0606,-8.3333,-4.3956,1.9517
102,0.5474,0.0000,7.7586,3.2258,1.9284,5.1724,0.9572
103,-1.3128,-1.3699,-2.4000,7.8125,0.5405,-1.0929,-0.5267
104,-2.1146,-4.7619,1.6393,1.4493,2.4194,3.8674,-0.6354
105,2.7483,0.8333,4.8387,1.4286,11.0236,4.7872,-0.9326
106,6.4522,11.3636,0.0000,2.8169,6.1466,4.5685,-1.5869
107,4.4967,4.2672,8.4615,2.7397,3.5635,-0.9709,-2.5690
